Ayurvedic Medicine,Diseases Cured,Cautions and Precautions,Properties,Key Ingredients,Mode of Action
Vacha Varti,Speech Disorders,Avoid during breastfeeding.,"Nootropic, Speech Enhancing","Vacha, Honey",Nervine tonic and memory enhancer
Vacha Varti,Memory,Avoid during breastfeeding.,"Nootropic, Speech Enhancing","Vacha, Honey",Nervine tonic and memory enhancer
Nirgundi Varti,Muscle Pain,Do not apply to broken skin.,"Analgesic, Anti-inflammatory","Nirgundi, Sesame Oil",Anti-inflammatory and analgesic
Nirgundi Varti,Joint Inflammation,Do not apply to broken skin.,"Analgesic, Anti-inflammatory","Nirgundi, Sesame Oil",Anti-inflammatory and analgesic
Swarnamakshik Bhasma Varti,Anemia,Avoid taking with dairy products.,"Hematinic, Rejuvenating","Swarnamakshik Bhasma, Honey",Iron supplement for anemia
Kankayan Varti,Piles,Avoid spicy and fried foods.,"Hemostatic, Analgesic","Kankayan, Tankana",Laxative and hemorrhoid relief
Chitrakadi Varti,Indigestion,Not suitable for gastritis patients.,"Digestive, Appetite Stimulant","Chitraka, Ginger",Digestive stimulant and carminative
Chitrakadi Varti,Loss of Appetite,Not suitable for gastritis patients.,"Digestive, Appetite Stimulant","Chitraka, Ginger",Digestive stimulant and carminative
Pathyadi Varti,Allergic Rhinitis,Use with caution in children.,"Anti-allergic, Decongestant","Pathya, Anu Taila",Respiratory relief and decongestant
Manjishthadi Varti,Skin Disorders,Avoid exposure to extreme cold.,"Blood Purifier, Anti-inflammatory","Manjishtha, Sesame Oil",Blood purifier and anti-inflammatory
Manjishthadi Varti,Psoriasis,Avoid exposure to extreme cold.,"Blood Purifier, Anti-inflammatory","Manjishtha, Sesame Oil",Blood purifier and anti-inflammatory
Pashanabheda Varti,Kidney Stones,Avoid high oxalate foods.,"Diuretic, Stone Dissolver","Pashanabheda, Gokshura",Dissolves kidney stones and diuretic
Tamra Bhasma Varti,Anemia,Not recommended for individuals with copper allergies.,"Hematinic, Rejuvenating","Tamra Bhasma, Ghee",Copper supplement for various conditions
Bhallataka Varti,Corns,Apply externally and avoid contact with eyes.,"Keratolytic, Wart Remover","Bhallataka, Castor Oil",Skin conditions and analgesic
Bhallataka Varti,Warts,Apply externally and avoid contact with eyes.,"Keratolytic, Wart Remover","Bhallataka, Castor Oil",Skin conditions and analgesic
Vayu Gutika Varti,Gas and Bloating,Not suitable for people with severe gastritis.,"Carminative, Anti-flatulent","Hing (Asafoetida), Rock Salt",Digestive disorders and carminative
Jatiphala Varti,Toothache,Use sparingly and avoid swallowing.,"Analgesic, Antimicrobial","Jatiphala, Clove Oil",Digestive aid and anti-inflammatory
Jatiphala Varti,Gum Infections,Use sparingly and avoid swallowing.,"Analgesic, Antimicrobial","Jatiphala, Clove Oil",Digestive aid and anti-inflammatory
Patoladi Varti,Skin Allergies,Avoid excessive scratching.,"Antipruritic, Skin Soothing","Patola, Coconut Oil",Digestive disorders and carminative
Patoladi Varti,Itching,Avoid excessive scratching.,"Antipruritic, Skin Soothing","Patola, Coconut Oil",Digestive disorders and carminative
Gandhak Rasayan Varti,Skin Disorders,Avoid contact with eyes and mucous membranes.,"Antifungal, Antibacterial","Gandhak (Sulfur), Triphala","Contains sulfur, used in Ayurveda"
Gandhak Rasayan Varti,Fungal Infections,Avoid contact with eyes and mucous membranes.,"Antifungal, Antibacterial","Gandhak (Sulfur), Triphala","Contains sulfur, used in Ayurveda"
Katphala Varti,Indigestion,Not suitable for gastritis patients.,"Digestive, Carminative","Katphala, Ginger",Used in digestive and respiratory disorders
Katphala Varti,Flatulence,Not suitable for gastritis patients.,"Digestive, Carminative","Katphala, Ginger",Used in digestive and respiratory disorders
Bhringarajadi Varti,Hair Loss,Avoid applying to the eyes.,"Hair Tonic, Darkening","Bhringaraj, Coconut Oil",Used in hair and skin care
Bhringarajadi Varti,Premature Graying,Avoid applying to the eyes.,"Hair Tonic, Darkening","Bhringaraj, Coconut Oil",Used in hair and skin care
Kasisadi Ghrita Varti,Burn Injuries,For external use only.,"Healing, Cooling","Kasisa, Clarified Butter (Ghee)",Used in various Ayurvedic treatments
Kasisadi Ghrita Varti,Wounds,For external use only.,"Healing, Cooling","Kasisa, Clarified Butter (Ghee)",Used in various Ayurvedic treatments
Chandanadi Ghrita Varti,Skin Eczema,Not recommended for oily skin.,"Moisturizing, Soothing","Sandalwood, Ghee",May have cooling properties
Chandanadi Ghrita Varti,Dryness,Not recommended for oily skin.,"Moisturizing, Soothing","Sandalwood, Ghee",May have cooling properties
Agastya Rasayana Varti,Asthma,Avoid during acute asthma attacks.,"Respiratory Tonic, Bronchodilator","Agastya, Honey",Supports respiratory health
Agastya Rasayana Varti,Respiratory Health,Avoid during acute asthma attacks.,"Respiratory Tonic, Bronchodilator","Agastya, Honey",Supports respiratory health
Kasisadi Taila Varti,Piles,Avoid excessive straining during bowel movements.,"Hemostatic, Lubricating","Kasisa, Sesame Oil",Used in various Ayurvedic treatments
Kasisadi Taila Varti,Anal Fissures,Avoid excessive straining during bowel movements.,"Hemostatic, Lubricating","Kasisa, Sesame Oil",Used in various Ayurvedic treatments
Lashunaadi Varti,Cough,Not suitable for individuals with excessive heat in the body.,"Expectorant, Antipyretic","Garlic, Honey",May have antibacterial properties
Lashunaadi Varti,Cold,Not suitable for individuals with excessive heat in the body.,"Expectorant, Antipyretic","Garlic, Honey",May have antibacterial properties
Patoladi Ghrita Varti,Skin Allergies,Avoid allergen exposure.,"Anti-allergic, Skin Nourishing","Patola, Ghee",Used in various Ayurvedic treatments
Patoladi Ghrita Varti,Eczema,Avoid allergen exposure.,"Anti-allergic, Skin Nourishing","Patola, Ghee",Used in various Ayurvedic treatments
Laghu Malini Varti,Urinary Incontinence,Not suitable for urinary tract infections.,"Tonic, Strengthening","Laghu Malini, Ghee",Used in urinary disorders
Laghu Malini Varti,Weak Bladder,Not suitable for urinary tract infections.,"Tonic, Strengthening","Laghu Malini, Ghee",Used in urinary disorders
Kutaja Varti,Diarrhea,Avoid excessive use.,"Antidiarrheal, Astringent","Kutaja, Honey",Used in diarrhea and dysentery
Kutaja Varti,Dysentery,Avoid excessive use.,"Antidiarrheal, Astringent","Kutaja, Honey",Used in diarrhea and dysentery
Vata Chintamani Varti,Nervous Disorders,Not suitable for very young children.,"Anxiolytic, Nervine Tonic","Vata Chintamani, Ghee",Used in various Ayurvedic treatments
Vata Chintamani Varti,Anxiety,Not suitable for very young children.,"Anxiolytic, Nervine Tonic","Vata Chintamani, Ghee",Used in various Ayurvedic treatments
Dadimadi Varti,Acidity,Avoid spicy and acidic foods.,"Antacid, Cooling","Pomegranate, Sugar",Used in digestive disorders
Dadimadi Varti,Gastritis,Avoid spicy and acidic foods.,"Antacid, Cooling","Pomegranate, Sugar",Used in digestive disorders
Anantmooladi Varti,Skin Rashes,Avoid scratching affected areas.,"Antipruritic, Cooling","Anantmool, Coconut Oil",Supports respiratory health
Anantmooladi Varti,Itching,Avoid scratching affected areas.,"Antipruritic, Cooling","Anantmool, Coconut Oil",Supports respiratory health
Kaishora Guggulu Varti,Skin Disorders,Not recommended during pregnancy.,"Blood Purifier, Anti-inflammatory","Guggulu, Triphala",Supports joint health and inflammation
Kaishora Guggulu Varti,Rheumatoid Arthritis,Not recommended during pregnancy.,"Blood Purifier, Anti-inflammatory","Guggulu, Triphala",Supports joint health and inflammation
Sarshapa Taila Varti,Sinusitis,Avoid excessive use.,"Decongestant, Nourishing","Mustard Oil, Eucalyptus",Used in Ayurvedic massages
Sarshapa Taila Varti,Nasal Congestion,Avoid excessive use.,"Decongestant, Nourishing","Mustard Oil, Eucalyptus",Used in Ayurvedic massages
Bilwadi Varti,Irritable Bowel Syndrome,Not suitable for constipated individuals.,"Antispasmodic, Digestive","Bilwa, Rock Salt",Supports digestive health
Bilwadi Varti,Diarrhea,Not suitable for constipated individuals.,"Antispasmodic, Digestive","Bilwa, Rock Salt",Supports digestive health
Gandhakadi Varti,Skin Fungal Infections,Avoid contact with mucous membranes.,"Antifungal, Antiparasitic","Gandhak (Sulfur), Coconut Oil","Contains sulfur, used in Ayurveda"
Gandhakadi Varti,Scabies,Avoid contact with mucous membranes.,"Antifungal, Antiparasitic","Gandhak (Sulfur), Coconut Oil","Contains sulfur, used in Ayurveda"
Rasnadi Varti,Sinusitis,Not suitable for people with sensitive skin.,"Decongestant, Analgesic","Rasna, Sesame Oil",Supports respiratory health
Rasnadi Varti,Headache,Not suitable for people with sensitive skin.,"Decongestant, Analgesic","Rasna, Sesame Oil",Supports respiratory health
Mrityunjaya Varti,Hemorrhoids,Avoid straining during bowel movements.,"Hemostatic, Analgesic","Mrityunjaya, Ghee",Used in various Ayurvedic treatments
Mrityunjaya Varti,Piles,Avoid straining during bowel movements.,"Hemostatic, Analgesic","Mrityunjaya, Ghee",Used in various Ayurvedic treatments
Hingu Varti,Indigestion,Not suitable for individuals with high blood pressure.,"Digestive, Carminative","Hingu (Asafoetida), Rock Salt",Used for digestive and respiratory issues
Hingu Varti,Colic,Not suitable for individuals with high blood pressure.,"Digestive, Carminative","Hingu (Asafoetida), Rock Salt",Used for digestive and respiratory issues
Haridradi Varti,Skin Pigmentation,Use sunscreen during treatment.,"Depigmenting, Skin Rejuvenating","Haridra, Ghee",Used in skin and hair care
Haridradi Varti,Melasma,Use sunscreen during treatment.,"Depigmenting, Skin Rejuvenating","Haridra, Ghee",Used in skin and hair care
Bhringarajadi Taila Varti,Scalp Psoriasis,Avoid excessive washing.,"Antipsoriatic, Scalp Nourishing","Bhringaraj, Coconut Oil",Used for hair and scalp conditions
Bhringarajadi Taila Varti,Dandruff,Avoid excessive washing.,"Antipsoriatic, Scalp Nourishing","Bhringaraj, Coconut Oil",Used for hair and scalp conditions
Jyotishmati Varti,Memory Enhancement,Not recommended during pregnancy.,"Nootropic, Adaptogenic","Jyotishmati, Ghee",Used for brain and nerve health
Jyotishmati Varti,Stress,Not recommended during pregnancy.,"Nootropic, Adaptogenic","Jyotishmati, Ghee",Used for brain and nerve health
Haritaki Varti,Digestive Disorders,Avoid excessive use.,"Digestive, Detoxifying","Haritaki, Rock Salt",Supports digestive health
Haritaki Varti,Detoxification,Avoid excessive use.,"Digestive, Detoxifying","Haritaki, Rock Salt",Supports digestive health
Arka Varti,Skin Warts,Apply only externally.,"Keratolytic, Wart Remover","Arka (Calotropis procera), Castor Oil",Used in skin conditions
Arka Varti,Corns,Apply only externally.,"Keratolytic, Wart Remover","Arka (Calotropis procera), Castor Oil",Used in skin conditions
Chandraprabha Ghrita Varti,Urinary Tract Infections,Avoid excessive intake of spicy foods.,"Diuretic, Stone Dissolver","Chandraprabha, Ghee",Supports urinary and reproductive health
Chandraprabha Ghrita Varti,Kidney Stones,Avoid excessive intake of spicy foods.,"Diuretic, Stone Dissolver","Chandraprabha, Ghee",Supports urinary and reproductive health
Talisadi Varti,Cough,Not suitable for individuals with hypertension.,"Expectorant, Respiratory Tonic","Talisadi, Honey",Supports respiratory health.
Talisadi Varti,Respiratory Disorders,Not suitable for individuals with hypertension.,"Expectorant, Respiratory Tonic","Talisadi, Honey",Supports respiratory health.
Vriddhadaruka Varti,Hemorrhoids,Avoid straining during bowel movements.,"Hemostatic, Analgesic","Vriddhadaruka, Ghee",Supports digestive health.
Vriddhadaruka Varti,Anal Fissures,Avoid straining during bowel movements.,"Hemostatic, Analgesic","Vriddhadaruka, Ghee",Supports digestive health.
Sarivadi Varti,Skin Itching,Avoid excessive scratching.,"Antipruritic, Cooling","Sariva, Ghee",Supports oral health.
Sarivadi Varti,Pruritus,Avoid excessive scratching.,"Antipruritic, Cooling","Sariva, Ghee",Supports oral health.
Kapikacchu Varti,Male Infertility,Not suitable during pregnancy.,"Aphrodisiac, Nervine Tonic","Kapikacchu, Ghee",Supports nervous system and vitality.
Kapikacchu Varti,Parkinson's Disease,Not suitable during pregnancy.,"Aphrodisiac, Nervine Tonic","Kapikacchu, Ghee",Supports nervous system and vitality.
Pinda Thaila Varti,Joint Pain,Avoid excessive massage.,"Analgesic, Lubricating","Pinda Thaila, Sesame Oil",Supports skin health.
Pinda Thaila Varti,Arthritis,Avoid excessive massage.,"Analgesic, Lubricating","Pinda Thaila, Sesame Oil",Supports skin health.
Vishnu Taila Varti,Back Pain,Do not apply to open wounds.,"Analgesic, Muscle Relaxant","Vishnu Taila, Sesame Oil",Supports joint and muscle health.
Vishnu Taila Varti,Muscle Stiffness,Do not apply to open wounds.,"Analgesic, Muscle Relaxant","Vishnu Taila, Sesame Oil",Supports joint and muscle health.
Kumkumadi Ghrita Varti,Skin Glow,Not recommended for very oily skin.,"Skin Rejuvenating, Depigmenting","Kumkumadi, Ghee",Supports skin complexion and health.
Kumkumadi Ghrita Varti,Complexion Enhancement,Not recommended for very oily skin.,"Skin Rejuvenating, Depigmenting","Kumkumadi, Ghee",Supports skin complexion and health.
Yavani Varti,Indigestion,Not suitable for gastritis patients.,"Digestive, Carminative","Yavani, Rock Salt",Supports digestive health.
Yavani Varti,Bloating,Not suitable for gastritis patients.,"Digestive, Carminative","Yavani, Rock Salt",Supports digestive health.
Trikatu Varti,Digestive Disorders,Not suitable for gastritis patients.,"Digestive, Thermogenic","Trikatu, Rock Salt",Supports digestion and metabolism.
Trikatu Varti,Weight Loss,Not suitable for gastritis patients.,"Digestive, Thermogenic","Trikatu, Rock Salt",Supports digestion and metabolism.
Madanadi Varti,Excessive Thirst,Not suitable for hypoglycemic individuals.,"Antidiabetic, Diuretic","Madana, Ghee",Supports urinary system health.
Madanadi Varti,Diabetes,Not suitable for hypoglycemic individuals.,"Antidiabetic, Diuretic","Madana, Ghee",Supports urinary system health.
Kapalbhati Varti,Sinusitis,Avoid excessive use.,"Decongestant, Nourishing","Kapalbhati, Sesame Oil",Supports respiratory and nervous systems.
Kapalbhati Varti,Nasal Congestion,Avoid excessive use.,"Decongestant, Nourishing","Kapalbhati, Sesame Oil",Supports respiratory and nervous systems.
Rasonadi Varti,Cough,Not suitable for individuals with garlic allergies.,"Expectorant, Antibacterial","Rason (Garlic), Honey",Supports respiratory health.
Rasonadi Varti,Cold,Not suitable for individuals with garlic allergies.,"Expectorant, Antibacterial","Rason (Garlic), Honey",Supports respiratory health.
Chandanadi Rasayana Varti,Skin Allergies,Avoid excessive sun exposure.,"Antiallergic, Cooling","Chandanadi, Ghee",Supports skin and overall health.
Chandanadi Rasayana Varti,Redness,Avoid excessive sun exposure.,"Antiallergic, Cooling","Chandanadi, Ghee",Supports skin and overall health.
Dadimadi Ghrita Varti,Gastritis,Avoid spicy and acidic foods.,"Antacid, Cooling","Pomegranate, Ghee",Supports digestive and reproductive health.
Dadimadi Ghrita Varti,Acid Reflux,Avoid spicy and acidic foods.,"Antacid, Cooling","Pomegranate, Ghee",Supports digestive and reproductive health.
Hinguleshwar Varti,Chronic Skin Infections,Avoid excessive application.,"Antimicrobial, Healing","Hinguleshwar, Ghee",Supports digestive health.
Indrayavadi Varti,Diarrhea,Not suitable for constipated individuals.,"Antidiarrheal, Astringent","Indrayava, Honey",Supports digestive and respiratory health.
Indrayavadi Varti,Dysentery,Not suitable for constipated individuals.,"Antidiarrheal, Astringent","Indrayava, Honey",Supports digestive and respiratory health.
Parijataka Varti,Skin Allergies,Avoid allergen exposure.,"Antiallergic, Skin Soothing","Parijataka, Ghee",Supports digestive and respiratory health.
Parijataka Varti,Eczema,Avoid allergen exposure.,"Antiallergic, Skin Soothing","Parijataka, Ghee",Supports digestive and respiratory health.
Brahmi Ghrita Varti,Memory Enhancement,Not recommended during pregnancy.,"Nootropic, Anxiolytic","Brahmi, Ghee",Supports cognitive function and calmness.
Brahmi Ghrita Varti,Anxiety,Not recommended during pregnancy.,"Nootropic, Anxiolytic","Brahmi, Ghee",Supports cognitive function and calmness.
Kantakari Varti,Respiratory Disorders,Not suitable for individuals with sensitive airways.,"Expectorant, Bronchodilator","Kantakari, Honey",Supports respiratory health.
Kantakari Varti,Cough,Not suitable for individuals with sensitive airways.,"Expectorant, Bronchodilator","Kantakari, Honey",Supports respiratory health.
Jvaraghna Varti,Fever,Not suitable for prolonged fever without medical supervision.,"Antipyretic, Antimalarial",Varied herbs depending on the fever type.,Supports fever management.
Jvaraghna Varti,Malaria,Not suitable for prolonged fever without medical supervision.,"Antipyretic, Antimalarial",Varied herbs depending on the fever type.,Supports fever management.
Vayu Gutika Ghrita Varti,Gas and Bloating,Not suitable for gastritis patients.,"Carminative, Digestive","Hing (Asafoetida), Ghee",Supports digestive and respiratory health.
Vayu Gutika Ghrita Varti,Indigestion,Not suitable for gastritis patients.,"Carminative, Digestive","Hing (Asafoetida), Ghee",Supports digestive and respiratory health.
Haridra Khanda Varti,Allergies,Not suitable for individuals with turmeric allergies.,"Antiallergic, Anti-inflammatory","Haridra, Ghee",Supports anti-inflammatory properties.
Haridra Khanda Varti,Asthma,Not suitable for individuals with turmeric allergies.,"Antiallergic, Anti-inflammatory","Haridra, Ghee",Supports anti-inflammatory properties.
Arka Ghrita Varti,Skin Disorders,Apply externally and avoid contact with eyes.,"Healing, Cooling","Arka (Calotropis procera), Ghee",Supports skin health.
Arka Ghrita Varti,Burns,Apply externally and avoid contact with eyes.,"Healing, Cooling","Arka (Calotropis procera), Ghee",Supports skin health.
Kutaja Khanda Varti,Diarrhea,Not suitable for constipated individuals.,"Antidiarrheal, Astringent","Kutaja, Honey",Supports digestive health and diarrhea.
Kutaja Khanda Varti,Dysentery,Not suitable for constipated individuals.,"Antidiarrheal, Astringent","Kutaja, Honey",Supports digestive health and diarrhea.
Mrityunjaya Ghrita Varti,Hemorrhoids,Avoid excessive straining during bowel movements.,"Hemostatic, Lubricating","Mrityunjaya, Ghee",Supports overall health and vitality.
Mrityunjaya Ghrita Varti,Anal Fissures,Avoid excessive straining during bowel movements.,"Hemostatic, Lubricating","Mrityunjaya, Ghee",Supports overall health and vitality.
Kumkumadi Khanda Varti,Skin Pigmentation,Avoid excessive sun exposure during treatment.,"Depigmenting, Skin Rejuvenating","Kumkumadi, Honey",Supports skin complexion and health.
Kumkumadi Khanda Varti,Dark Spots,Avoid excessive sun exposure during treatment.,"Depigmenting, Skin Rejuvenating","Kumkumadi, Honey",Supports skin complexion and health.
Kantakari Ghrita Varti,Respiratory Disorders,Not suitable for individuals with acute asthma attacks.,"Bronchodilator, Respiratory Tonic","Kantakari, Ghee",Supports respiratory health.
Kantakari Ghrita Varti,Asthma,Not suitable for individuals with acute asthma attacks.,"Bronchodilator, Respiratory Tonic","Kantakari, Ghee",Supports respiratory health.
Gokshura Khanda Varti,Urinary Tract Infections,Avoid excessive intake of salty foods.,"Diuretic, Stone Dissolver","Gokshura, Honey",Supports urinary and reproductive health.
Gokshura Khanda Varti,Kidney Stones,Avoid excessive intake of salty foods.,"Diuretic, Stone Dissolver","Gokshura, Honey",Supports urinary and reproductive health.
Jvaladi Varti,Burns,Apply externally and avoid contact with eyes.,"Healing, Cooling","Jvala (Jasminum sambac), Ghee",Supports digestion and metabolism.
Jvaladi Varti,Skin Injuries,Apply externally and avoid contact with eyes.,"Healing, Cooling","Jvala (Jasminum sambac), Ghee",Supports digestion and metabolism.
Kasisadi Taila Ghrita Varti,Burn Injuries,For external use only.,"Healing, Cooling","Kasisa, Ghee",Supports skin and digestive health.
Kasisadi Taila Ghrita Varti,Wounds,For external use only.,"Healing, Cooling","Kasisa, Ghee",Supports skin and digestive health.
Rasnadi Khanda Varti,Sinusitis,Not suitable for individuals with sensitive skin.,"Decongestant, Analgesic","Rasna, Honey",Supports respiratory health.
Rasnadi Khanda Varti,Headache,Not suitable for individuals with sensitive skin.,"Decongestant, Analgesic","Rasna, Honey",Supports respiratory health.
Patoladi Khanda Varti,Skin Allergies,Avoid excessive scratching.,"Antipruritic, Cooling","Patola, Honey",Supports digestive and respiratory health.
Patoladi Khanda Varti,Pruritus,Avoid excessive scratching.,"Antipruritic, Cooling","Patola, Honey",Supports digestive and respiratory health.
Yavani Khanda Varti,Indigestion,Not suitable for gastritis patients.,"Digestive, Carminative","Yavani, Honey",Supports digestive health.
Yavani Khanda Varti,Bloating,Not suitable for gastritis patients.,"Digestive, Carminative","Yavani, Honey",Supports digestive health.
Tapyadi Ghrita Varti,Hemorrhoids,Avoid straining during bowel movements.,"Hemostatic, Lubricating","Tapyadi, Ghee",Supports digestive and respiratory health.
Tapyadi Ghrita Varti,Anal Fissures,Avoid straining during bowel movements.,"Hemostatic, Lubricating","Tapyadi, Ghee",Supports digestive and respiratory health.
Gandharva Haritaki Ghrita Varti,Memory Enhancement,Not recommended during pregnancy.,"Nootropic, Digestive","Gandharva Haritaki, Ghee",Supports digestive and respiratory health.
Gandharva Haritaki Ghrita Varti,Digestion,Not recommended during pregnancy.,"Nootropic, Digestive","Gandharva Haritaki, Ghee",Supports digestive and respiratory health.
Karpuradi Khanda Varti,Headache,Use sparingly and avoid excessive use.,"Analgesic, Relaxant","Camphor, Honey",Supports respiratory health.
Karpuradi Khanda Varti,Migraine,Use sparingly and avoid excessive use.,"Analgesic, Relaxant","Camphor, Honey",Supports respiratory health.
Gomutra Varti,Urinary Disorders,Avoid if allergic to cow products.,"Diuretic, Kidney Tonic","Cow's urine, Varied herbs",Supports digestive and overall health.
Gomutra Varti,Kidney Health,Avoid if allergic to cow products.,"Diuretic, Kidney Tonic","Cow's urine, Varied herbs",Supports digestive and overall health.
Patoladi Rasayana Varti,Skin Disorders,Not recommended for very young children.,"Skin Rejuvenating, Anti-inflammatory","Patola, Honey",Supports digestive and respiratory health.
Patoladi Rasayana Varti,Eczema,Not recommended for very young children.,"Skin Rejuvenating, Anti-inflammatory","Patola, Honey",Supports digestive and respiratory health.
Gandhaka Varti,Skin Fungal Infections,Apply only externally and avoid contact with eyes.,"Antifungal, Antiparasitic","Gandhaka (Sulfur), Ghee",Supports skin and overall health.
Gandhaka Varti,Scabies,Apply only externally and avoid contact with eyes.,"Antifungal, Antiparasitic","Gandhaka (Sulfur), Ghee",Supports skin and overall health.
Guggulutiktaka Varti,Skin Disorders,Not suitable for individuals with sensitive skin.,"Antipsoriatic, Anti-inflammatory","Guggulu, Neem",Supports joint and digestive health.
Guggulutiktaka Varti,Psoriasis,Not suitable for individuals with sensitive skin.,"Antipsoriatic, Anti-inflammatory","Guggulu, Neem",Supports joint and digestive health.
Vriddhadaruka Ghrita Varti,Hemorrhoids,Avoid straining during bowel movements.,"Hemostatic, Analgesic","Vriddhadaruka, Ghee",Supports digestive and respiratory health.
Vriddhadaruka Ghrita Varti,Piles,Avoid straining during bowel movements.,"Hemostatic, Analgesic","Vriddhadaruka, Ghee",Supports digestive and respiratory health.
Rasnadi Khanda Ghrita Varti,Sinusitis,Not suitable for individuals with sensitive skin.,"Decongestant, Analgesic","Rasna, Ghee",Supports respiratory health.
Rasnadi Khanda Ghrita Varti,Headache,Not suitable for individuals with sensitive skin.,"Decongestant, Analgesic","Rasna, Ghee",Supports respiratory health.
Mahatikta Ghrita Varti,Skin Disorders,Not recommended for very oily skin.,"Skin Rejuvenating, Anti-inflammatory","Mahatikta, Ghee",Supports skin and digestive health.
Mahatikta Ghrita Varti,Eczema,Not recommended for very oily skin.,"Skin Rejuvenating, Anti-inflammatory","Mahatikta, Ghee",Supports skin and digestive health.
Tapyadi Khanda Varti,Hemorrhoids,Avoid straining during bowel movements.,"Hemostatic, Lubricating","Tapyadi, Ghee",Supports digestive health.
Tapyadi Khanda Varti,Anal Fissures,Avoid straining during bowel movements.,"Hemostatic, Lubricating","Tapyadi, Ghee",Supports digestive health.
Yashad Bhasma Varti,Skin Disorders,Not recommended for very sensitive skin.,"Skin Rejuvenating, Toning","Yashad Bhasma, Honey",Supports overall health and immunity.
Yashad Bhasma Varti,Skin Toning,Not recommended for very sensitive skin.,"Skin Rejuvenating, Toning","Yashad Bhasma, Honey",Supports overall health and immunity.
Sootashekhar Varti,Hyperacidity,Avoid spicy and acidic foods.,"Antacid, Cooling","Sootashekhar, Honey",Supports digestive and urinary health.
Sootashekhar Varti,Gastritis,Avoid spicy and acidic foods.,"Antacid, Cooling","Sootashekhar, Honey",Supports digestive and urinary health.
Vasa Khanda Varti,Respiratory Disorders,Not suitable for individuals with asthma.,"Expectorant, Bronchodilator","Vasa, Honey",Supports respiratory health.
Vasa Khanda Varti,Cough,Not suitable for individuals with asthma.,"Expectorant, Bronchodilator","Vasa, Honey",Supports respiratory health.
Haridradi Khanda Varti,Skin Pigmentation,Use sunscreen during treatment.,"Depigmenting, Skin Rejuvenating","Haridra, Honey",Supports anti-inflammatory properties.
Haridradi Khanda Varti,Melasma,Use sunscreen during treatment.,"Depigmenting, Skin Rejuvenating","Haridra, Honey",Supports anti-inflammatory properties.
Kapikacchu Ghrita Varti,Male Infertility,Not suitable during pregnancy.,"Aphrodisiac, Nervine Tonic","Kapikacchu, Ghee",Supports nervous system and vitality.
Kapikacchu Ghrita Varti,Parkinson's Disease,Not suitable during pregnancy.,"Aphrodisiac, Nervine Tonic","Kapikacchu, Ghee",Supports nervous system and vitality.
Kasisadi Taila Khanda Varti,Burn Injuries,Avoid in cases of diarrhea and dysentery.,"Healing, Cooling","Kasisa, Honey",Supports skin and digestive health.
Kasisadi Taila Khanda Varti,Wounds,Avoid in cases of diarrhea and dysentery.,"Healing, Cooling","Kasisa, Honey",Supports skin and digestive health.
Shwasa Kuthar Ras Varti,Bronchial Asthma,Not recommended during pregnancy and lactation.,"Bronchodilator, Respiratory Tonic","Shwasa Kuthar Ras, Honey",Provides relief in respiratory disorders.
